Transaction Date,Total amount Withdrawn,Weekday,Festival Religion,Working Day,Holiday Sequence
2011-01-01,123800,2,1,0,4
2011-01-02,52800,3,4,0,1
2011-01-03,88100,1,4,1,7
2011-01-04,101600,5,4,1,7
2011-01-05,98000,6,4,1,7
2011-01-06,85900,4,4,1,7
2011-01-07,76500,0,4,1,7
2011-01-08,128600,2,4,0,4
2011-01-09,89000,3,4,0,1
2011-01-10,89800,1,4,1,3
2011-01-11,111900,5,4,1,7
2011-01-12,42700,6,4,1,7
2011-01-13,81200,4,4,1,7
2011-01-14,91100,0,4,1,6
2011-01-15,115900,2,1,0,4
2011-01-16,55100,3,1,0,0
2011-01-17,129800,1,1,0,1
2011-01-18,163600,5,4,1,3
2011-01-19,79500,6,4,1,7
2011-01-20,81700,4,4,1,7
2011-01-21,86600,0,4,1,6
2011-01-22,85400,2,4,0,4
2011-01-23,36800,3,4,0,1
2011-01-24,103900,1,4,1,3
2011-01-25,139900,5,4,1,5
2011-01-26,40500,6,3,0,5
2011-01-27,83300,4,4,1,3
2011-01-28,71300,0,4,1,6
2011-01-29,163500,2,4,0,4
2011-01-30,41100,3,4,0,1
2011-01-31,70800,1,4,1,3
2011-02-01,161700,5,4,1,7
2011-02-02,79200,6,4,1,7
2011-02-03,167800,4,4,1,7
2011-02-04,112700,0,4,1,6
2011-02-05,144000,2,4,0,4
2011-02-06,110400,3,4,0,1
2011-02-07,80300,1,4,1,3
2011-02-08,175300,5,4,1,7
2011-02-09,94600,6,4,1,7
2011-02-10,78100,4,4,1,7
2011-02-11,107400,0,4,1,7
2011-02-12,143200,2,4,0,4
2011-02-13,74900,3,4,0,1
2011-02-14,117000,1,4,1,3
2011-02-15,123700,5,4,1,6
2011-02-16,23700,6,2,0,5
2011-02-17,99700,4,4,1,3
2011-02-18,141800,0,4,1,6
2011-02-19,54300,2,4,0,4
2011-02-20,56000,3,4,0,1
2011-02-21,64200,1,4,1,3
2011-02-22,142500,5,4,1,7
2011-02-23,91900,6,4,1,7
2011-02-24,74700,4,4,1,7
2011-02-25,33700,0,4,1,6
2011-02-26,119600,2,4,0,4
2011-02-27,18000,3,4,0,1
2011-02-28,149000,1,4,1,3
2011-03-01,105800,5,4,1,7
2011-03-02,143300,6,4,1,7
2011-03-03,109100,4,1,1,7
2011-03-04,167100,0,4,1,6
2011-03-05,116000,2,4,0,4
2011-03-06,110200,3,4,0,1
2011-03-07,111300,1,4,1,3
2011-03-08,134400,5,4,1,7
2011-03-09,173100,6,4,1,7
2011-03-10,127600,4,4,1,7
2011-03-11,110200,0,4,1,7
2011-03-12,82400,2,4,0,4
2011-03-13,134700,3,4,0,1
2011-03-14,76100,1,4,1,3
2011-03-15,111200,5,4,1,7
2011-03-16,131200,6,4,1,7
2011-03-17,76300,4,4,1,7
2011-03-18,97400,0,4,1,6
2011-03-19,94300,2,4,0,4
2011-03-20,9200,3,1,0,1
2011-03-21,99400,1,4,1,3
2011-03-22,47600,5,4,1,7
2011-03-23,52800,6,4,1,7
2011-03-24,34000,4,4,1,7
2011-03-25,37900,0,4,1,6
2011-03-26,41300,2,4,0,4
2011-03-27,88800,3,4,0,1
2011-03-28,144200,1,4,1,3
2011-03-29,108600,5,4,1,7
2011-03-30,110200,6,4,1,7
2011-03-31,131800,4,4,1,7
2011-04-01,134700,0,4,1,6
2011-04-02,130500,2,4,0,4
2011-04-03,237800,3,4,0,1
2011-04-04,101000,1,1,1,3
2011-04-05,202300,5,4,1,7
2011-04-06,115400,6,4,1,7
2011-04-07,109800,4,4,1,7
2011-04-08,122500,0,4,1,6
2011-04-09,155600,2,4,0,4
2011-04-10,112700,3,4,0,1
2011-04-11,141300,1,4,1,2
2011-04-12,111500,5,1,0,5
2011-04-13,208500,6,4,1,2
2011-04-14,105600,4,3,0,5
2011-04-15,90000,0,4,1,2
2011-04-16,68100,2,1,0,4
2011-04-17,103000,3,4,0,1
2011-04-18,154000,1,4,1,3
2011-04-19,92100,5,4,1,7
2011-04-20,171400,6,4,1,7
2011-04-21,120700,4,4,1,6
2011-04-22,73900,0,0,0,4
2011-04-23,112300,2,4,0,0
2011-04-24,79900,3,4,0,1
2011-04-25,71600,1,4,1,3
2011-04-26,62100,5,4,1,7
2011-04-27,80100,6,4,1,7
2011-04-28,77600,4,4,1,7
2011-04-29,86700,0,4,1,6
2011-04-30,22400,2,4,0,4
2011-05-01,60200,3,3,0,1
2011-05-02,116500,1,4,1,3
2011-05-03,97200,5,4,1,7
2011-05-04,52900,6,4,1,7
2011-05-05,111200,4,4,1,7
2011-05-06,117300,0,4,1,6
2011-05-07,138600,2,4,0,4
2011-05-08,101000,3,4,0,1
2011-05-09,65600,1,4,1,3
2011-05-10,204200,5,4,1,7
2011-05-11,114900,6,4,1,7
2011-05-12,101000,4,4,1,7
2011-05-13,53300,0,4,1,6
2011-05-14,65000,2,4,0,4
2011-05-15,57300,3,4,0,1
2011-05-16,77900,1,4,1,2
2011-05-17,66700,5,1,0,5
2011-05-18,131400,6,4,1,3
2011-05-19,162700,4,4,1,7
2011-05-20,194700,0,4,1,6
2011-05-21,98300,2,4,0,4
2011-05-22,86900,3,4,0,1
2011-05-23,107000,1,4,1,3
2011-05-24,120800,5,4,1,7
2011-05-25,250400,6,4,1,7
2011-05-26,267400,4,4,1,7
2011-05-27,161200,0,4,1,6
2011-05-28,147900,2,4,0,4
2011-05-29,68700,3,4,0,1
2011-05-30,136800,1,4,1,3
2011-05-31,133800,5,4,1,7
2011-06-01,136500,6,4,1,7
2011-06-02,109600,4,4,1,7
2011-06-03,124700,0,4,1,6
2011-06-04,209300,2,4,0,4
2011-06-05,82200,3,4,0,1
2011-06-06,127700,1,4,1,3
2011-06-07,106000,5,4,1,7
2011-06-08,109100,6,4,1,7
2011-06-09,171700,4,4,1,7
2011-06-10,121500,0,4,1,6
2011-06-11,56700,2,4,0,4
2011-06-12,125500,3,4,0,1
2011-06-13,174800,1,4,1,3
2011-06-14,72700,5,4,1,7
2011-06-15,89100,6,4,1,7
2011-06-16,144500,4,4,1,7
2011-06-17,88200,0,4,1,6
2011-06-18,118500,2,4,0,4
2011-06-19,138500,3,4,0,1
2011-06-20,148700,1,4,1,3
2011-06-21,172000,5,4,1,7
2011-06-22,104800,6,4,1,7
2011-06-23,132500,4,4,1,7
2011-06-24,197100,0,4,1,6
2011-06-25,124100,2,4,0,4
2011-06-26,54900,3,4,0,1
2011-06-27,76500,1,4,1,3
2011-06-28,189100,5,4,1,7
2011-06-29,130000,6,4,1,7
2011-06-30,101100,4,4,1,7
2011-07-01,158800,0,4,1,6
2011-07-02,68000,2,4,0,4
2011-07-03,123200,3,4,0,1
2011-07-04,93400,1,4,1,3
2011-07-05,114000,5,4,1,7
2011-07-06,96600,6,4,1,7
2011-07-07,126800,4,4,1,7
2011-07-08,113800,0,4,1,7
2011-07-09,98200,2,4,0,4
2011-07-10,163500,3,4,0,1
2011-07-11,98400,1,4,1,3
2011-07-12,86700,5,4,1,7
2011-07-13,105700,6,4,1,7
2011-07-14,48600,4,4,1,7
2011-07-15,97500,0,4,1,6
2011-07-16,122300,2,4,0,4
2011-07-17,53400,3,4,0,1
2011-07-18,100600,1,4,1,3
2011-07-19,52500,5,4,1,7
2011-07-20,158400,6,4,1,7
2011-07-21,93800,4,4,1,7
2011-07-22,121900,0,4,1,6
2011-07-23,105300,2,4,0,4
2011-07-24,146000,3,4,0,1
2011-07-25,94900,1,4,1,3
2011-07-26,135100,5,4,1,7
2011-07-27,87400,6,4,1,7
2011-07-28,109200,4,4,1,7
2011-07-29,130300,0,4,1,6
2011-07-30,163600,2,4,0,4
2011-07-31,163300,3,4,0,1
2011-08-01,292700,1,4,1,3
2011-08-02,244000,5,4,1,7
2011-08-03,310700,6,4,1,7
2011-08-04,276400,4,4,1,7
2011-08-05,190700,0,4,1,6
2011-08-06,343200,2,4,0,4
2011-08-07,227400,3,4,0,1
2011-08-08,337600,1,4,1,3
2011-08-09,269700,5,4,1,7
2011-08-10,206400,6,4,1,7
2011-08-11,209800,4,4,1,7
2011-08-12,129400,0,4,1,6
2011-08-13,73900,2,4,0,4
2011-08-14,98300,3,4,0,0
2011-08-15,29000,1,3,0,1
2011-08-16,30800,5,4,1,3
2011-08-17,85600,6,4,1,7
2011-08-18,103500,4,4,1,7
2011-08-19,48200,0,4,1,6
2011-08-20,101300,2,4,0,4
2011-08-21,129100,3,1,0,1
2011-08-22,87500,1,4,1,3
2011-08-23,135100,5,4,1,7
2011-08-24,97600,6,4,1,7
2011-08-25,125400,4,4,1,7
2011-08-26,108500,0,4,1,6
2011-08-27,63500,2,4,0,4
2011-08-28,66500,3,4,0,1
2011-08-29,103100,1,4,1,3
2011-08-30,144800,5,4,1,4
2011-08-31,132100,6,2,0,4
2011-09-01,124000,4,1,0,1
2011-09-02,201600,0,4,1,2
2011-09-03,146900,2,4,0,4
2011-09-04,232000,3,4,0,1
2011-09-05,203100,1,4,1,3
2011-09-06,109000,5,4,1,7
2011-09-07,111500,6,4,1,7
2011-09-08,133900,4,4,1,7
2011-09-09,105700,0,4,1,7
2011-09-10,67600,2,4,0,4
2011-09-11,127100,3,4,0,1
2011-09-12,93200,1,4,1,3
2011-09-13,202600,5,4,1,7
2011-09-14,118900,6,4,1,7
2011-09-15,115100,4,4,1,7
2011-09-16,195400,0,4,1,6
2011-09-17,121000,2,4,0,4
2011-09-18,113500,3,4,0,1
2011-09-19,133200,1,4,1,3
2011-09-20,117300,5,4,1,7
2011-09-21,85600,6,4,1,7
2011-09-22,51900,4,4,1,7
2011-09-23,106000,0,4,1,6
2011-09-24,69500,2,4,0,4
2011-09-25,145800,3,4,0,1
2011-09-26,32000,1,4,1,3
2011-09-27,160400,5,4,1,7
2011-09-28,149300,6,4,1,7
2011-09-29,69500,4,4,1,7
2011-09-30,177700,0,4,1,6
2011-10-01,239500,2,4,0,4
2011-10-02,149000,3,3,0,1
2011-10-03,113200,1,4,1,3
2011-10-04,68900,5,4,1,6
2011-10-05,151600,6,1,0,4
2011-10-07,36500,0,4,1,6
2011-10-08,210500,2,4,0,4
2011-10-09,181300,3,4,0,1
2011-10-10,205000,1,4,1,3
2011-10-11,106200,5,4,1,7
2011-10-12,231900,6,4,1,7
2011-10-13,155600,4,4,1,7
2011-10-14,183700,0,4,1,6
2011-10-15,173600,2,4,0,4
2011-10-16,143500,3,4,0,1
2011-10-17,102000,1,4,1,3
2011-10-18,136200,5,4,1,7
2011-10-19,179200,6,4,1,7
2011-10-20,59400,4,4,1,7
2011-10-21,109000,0,4,1,6
2011-10-22,90900,2,4,0,4
2011-10-23,150300,3,4,0,1
2011-10-24,166500,1,4,1,3
2011-10-25,208900,5,4,1,6
2011-10-26,67000,6,1,0,5
2011-10-27,55100,4,4,1,3
2011-10-28,108800,0,4,1,6
2011-10-29,86100,2,4,0,4
2011-10-30,87700,3,4,0,1
2011-10-31,88300,1,4,1,3
2011-11-01,183200,5,4,1,7
2011-11-02,223200,6,4,1,7
2011-11-03,131600,4,4,1,7
2011-11-04,178800,0,4,1,6
2011-11-05,117700,2,4,0,4
2011-11-06,121000,3,4,0,0
2011-11-07,39500,1,2,0,1
2011-11-08,112300,5,4,1,3
2011-11-09,141300,6,4,1,7
2011-11-10,121900,4,4,1,7
2011-11-11,102200,0,4,1,6
2011-11-13,45100,3,4,0,1
2011-11-14,36300,1,4,1,3
2011-11-15,100000,5,4,1,7
2011-11-16,78000,6,4,1,7
2011-11-17,125700,4,4,1,7
2011-11-18,134800,0,4,1,6
2011-11-19,63600,2,4,0,4
2011-11-20,116800,3,4,0,1
2011-11-21,135900,1,4,1,3
2011-11-22,90700,5,4,1,7
2011-11-23,87700,6,4,1,7
2011-11-24,75500,4,4,1,7
2011-11-25,109400,0,4,1,6
2011-11-26,175800,2,4,0,4
2011-11-27,45700,3,4,0,1
2011-11-28,96400,1,4,1,3
2011-11-29,115300,5,4,1,7
2011-11-30,119200,6,4,1,7
2011-12-01,122800,4,4,1,7
2011-12-02,180900,0,4,1,6
2011-12-03,132000,2,4,0,4
2011-12-04,253700,3,4,0,1
2011-12-05,211700,1,4,1,2
2011-12-06,190200,5,2,0,5
2011-12-07,127600,6,4,1,3
2011-12-08,106000,4,4,1,7
2011-12-09,168200,0,4,1,6
2011-12-10,154900,2,4,0,4
2011-12-11,105300,3,4,0,1
2011-12-12,144100,1,4,1,3
2011-12-13,83000,5,4,1,7
2011-12-14,114200,6,4,1,7
2011-12-15,188200,4,4,1,7
2011-12-16,95600,0,4,1,6
2011-12-17,213000,2,4,0,4
2011-12-18,98600,3,4,0,1
2011-12-19,112700,1,4,1,3
2011-12-20,146900,5,4,1,7
2011-12-21,102600,6,4,1,7
2011-12-22,186800,4,4,1,7
2011-12-23,234600,0,4,1,6
2011-12-24,90000,2,4,0,4
2011-12-25,128900,3,0,0,1
2011-12-26,220100,1,4,1,3
2011-12-27,120500,5,4,1,7
2011-12-28,88800,6,4,1,7
2011-12-29,116000,4,4,1,7
2011-12-30,40800,0,4,1,6
2011-12-31,66200,2,4,0,4
2012-01-01,193800,3,0,0,1
2012-01-02,93300,3,0,0,1
2012-01-03,141900,3,0,0,1
2012-01-04,206800,3,0,0,1
2012-01-05,281800,3,0,0,1
2012-01-06,96900,3,0,0,1
2012-01-07,128300,2,4,0,4
2012-01-08,119100,3,4,0,1
2012-01-09,166600,3,4,0,1
2012-01-10,208000,3,4,0,1
2012-01-11,200200,3,4,0,1
2012-01-12,151900,3,4,0,1
2012-01-13,62700,3,4,0,1
2012-01-14,136200,2,4,0,4
2012-01-15,114600,3,1,0,0
2012-01-16,159700,1,1,0,0
2012-01-17,130500,5,1,0,1
2012-01-18,204300,5,1,0,1
2012-01-19,141400,5,1,0,1
2012-01-20,150300,5,1,0,1
2012-01-21,193200,2,4,0,4
2012-01-22,106900,3,4,0,1
2012-01-23,235900,3,4,0,1
2012-01-24,114700,3,4,0,1
2012-01-25,190900,3,4,0,1
2012-01-26,137800,4,3,0,5
2012-01-27,123100,4,3,0,5
2012-01-28,137700,2,4,0,4
2012-01-29,157600,3,4,0,1
2012-01-30,241700,3,4,0,1
2012-01-31,157700,3,4,0,1
2012-02-01,173900,3,4,0,1
2012-02-02,217300,3,4,0,1
2012-02-03,208300,3,4,0,1
2012-02-04,126500,2,4,0,4
2012-02-05,148800,3,2,0,1
2012-02-06,111100,3,2,0,1
2012-02-07,184600,3,2,0,1
2012-02-08,196800,3,2,0,1
2012-02-09,176100,3,2,0,1
2012-02-10,234500,3,2,0,1
2012-02-11,261200,2,4,0,4
2012-02-12,169900,3,4,0,1
2012-02-13,175100,3,4,0,1
2012-02-14,182900,3,4,0,1
2012-02-15,277100,3,4,0,1
2012-02-16,153000,3,4,0,1
2012-02-17,162000,3,4,0,1
2012-02-18,107600,2,4,0,4
2012-02-19,58900,3,4,0,1
2012-02-20,15600,3,4,0,1
2012-02-21,207300,3,4,0,1
2012-02-22,107300,3,4,0,1
2012-02-23,122200,3,4,0,1
2012-02-24,101600,3,4,0,1
2012-02-25,154300,2,4,0,4
2012-02-26,134900,3,4,0,1
2012-02-27,110200,3,4,0,1
2012-02-28,219900,3,4,0,1
2012-02-29,146100,3,4,0,1
2012-03-01,47200,3,4,0,1
2012-03-02,12000,3,4,0,1
2012-03-03,185100,2,4,0,4
2012-03-04,140900,3,4,0,1
2012-03-05,123300,3,4,0,1
2012-03-06,273300,3,4,0,1
2012-03-07,159200,3,4,0,1
2012-03-08,117100,3,4,0,1
2012-03-09,199100,3,4,0,1
2012-03-10,163900,2,4,0,4
2012-03-11,106400,3,4,0,1
2012-03-12,163300,3,4,0,1
2012-03-13,195500,3,4,0,1
2012-03-14,241400,3,4,0,1
2012-03-15,224200,3,4,0,1
2012-03-16,126500,3,4,0,1
2012-03-17,145800,2,4,0,4
2012-03-18,94900,3,4,0,1
2012-03-19,93800,3,4,0,1
2012-03-20,225800,3,4,0,1
2012-03-21,119000,3,4,0,1
2012-03-22,253800,3,4,0,1
2012-03-23,124400,0,1,0,4
2012-03-24,156100,2,4,0,0
2012-03-25,144000,3,4,0,1
2012-03-26,153900,3,4,0,1
2012-03-27,81100,3,4,0,1
2012-03-28,84600,3,4,0,1
2012-03-29,118700,3,4,0,1
2012-03-30,210400,3,4,0,1
2012-03-31,237000,2,4,0,4
2012-04-01,181500,3,4,0,1
2012-04-02,154100,3,4,0,1
2012-04-03,229900,3,4,0,1
2012-04-04,264200,3,4,0,1
2012-04-05,183300,4,1,0,4
2012-04-06,142500,0,0,0,0
2012-04-07,146600,2,4,0,0
2012-04-08,127800,3,4,0,1
2012-04-09,197500,3,4,0,1
2012-04-10,295100,3,4,0,1
2012-04-11,257600,3,4,0,1
2012-04-12,145700,3,4,0,1
2012-04-13,225600,0,1,0,4
2012-04-14,285300,2,4,0,0
2012-04-15,308400,3,4,0,1
2012-04-16,82300,3,4,0,1
2012-04-17,38000,3,4,0,1
2012-04-18,75700,3,4,0,1
2012-04-19,126700,3,4,0,1
2012-04-20,112200,3,4,0,1
2012-04-21,200800,2,4,0,4
2012-04-22,135700,3,4,0,1
2012-04-23,96800,3,4,0,1
2012-04-24,121000,3,4,0,1
2012-04-25,86600,3,4,0,1
2012-04-26,172500,3,4,0,1
2012-04-27,203000,3,4,0,1
2012-04-28,128000,2,4,0,4
2012-04-29,73000,3,4,0,1
2012-04-30,30600,3,4,0,1
2012-05-01,154300,5,3,0,5
2012-05-02,169800,5,3,0,5
2012-05-03,124300,5,3,0,5
2012-05-04,174000,5,3,0,5
